"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"2020census.gov","2020census.gov","https://2020census.gov","Department of Commerce","dotgov","No"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","No"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","No"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","No"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","No"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","No"
"abmc.gov","abmc.gov","http://www.abmc.gov","American Battle Monuments Commission","dotgov","Yes"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes"
"achp.gov","achp.gov","https://www.achp.gov","Advisory Council on Historic Preservation","dotgov","No"
"acl.gov","acl.gov","https://acl.gov","Department of Health and Human Services","dotgov","No"
"acquisition.gov","acquisition.gov","https://www.acquisition.gov","General Services Administration","dotgov","Yes"
"acus.gov","acus.gov","https://www.acus.gov","Administrative Conference of the United States","dotgov","No"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes"
"adlnet.gov","adlnet.gov","https://adlnet.gov","Department of Defense","dotgov","Yes"
"adr.gov","adr.gov","https://www.adr.gov","Federal Mediation and Conciliation Service","dotgov","Yes"
"afadvantage.gov","afadvantage.gov","https://afadvantage.gov","General Services Administration","dotgov","Yes"
"aff.gov","aff.gov","http://www.aff.gov","U.S. Department of Agriculture","dotgov","Yes"
"afrh.gov","afrh.gov","https://www.afrh.gov","Armed Forces Retirement Home","dotgov","No"
"agingstats.gov","agingstats.gov","https://agingstats.gov","Department of Health and Human Services","dotgov","No"
"ahrq.gov","ahrq.gov","https://www.ahrq.gov","Department of Health and Human Services","dotgov","Yes"
"airnow.gov","airnow.gov","https://www.airnow.gov","Environmental Protection Agency","dotgov","Yes"
"alaskacenters.gov","alaskacenters.gov","https://www.alaskacenters.gov","Department of the Interior","dotgov","Yes"
"alzheimers.gov","alzheimers.gov","https://www.alzheimers.gov","Department of Health and Human Services","dotgov","Yes"
"americathebeautifulquarters.gov","americathebeautifulquarters.gov","https://americathebeautifulquarters.gov","Department of the Treasury","dotgov","Yes"
"ameslab.gov","ameslab.gov","https://www.ameslab.gov","Department of Energy","dotgov","No"
"amtrakoig.gov","amtrakoig.gov","https://amtrakoig.gov","AMTRAK","dotgov","No"
"anchorit.gov","anchorit.gov","https://anchorit.gov","Consumer Product Safety Commission","dotgov","No"
"anl.gov","anl.gov","https://www.anl.gov","Department of Energy","dotgov","Yes"
"anstaskforce.gov","anstaskforce.gov","https://anstaskforce.gov","Department of the Interior","dotgov","No"
"apprenticeship.gov","apprenticeship.gov","https://www.apprenticeship.gov","Department of Labor","dotgov","Yes"
"arc.gov","arc.gov","https://www.arc.gov","Appalachian Regional Commission","dotgov","No"
"archives.gov","archives.gov","https://www.archives.gov","National Archives and Records Administration","dotgov","Yes"
"arctic.gov","arctic.gov","https://arctic.gov","National Science Foundation","dotgov","Yes"
"arm.gov","arm.gov","https://arm.gov","Department of Energy","dotgov","No"
